token,frequency,total,idf
given,409221,5940667,2.675321343206222
six,408905,5940667,2.6760938403905543
english,406128,5940667,2.6829083147647244
married,405320,5940667,2.6848998170348626
film,405154,5940667,2.6853094538703965
son,404951,5940667,2.6858106234823578
make,404751,5940667,2.686304632399385
york,403778,5940667,2.688711473637501
single,403674,5940667,2.688969074090717
2015,402809,5940667,2.69111419142535
form,400417,5940667,2.697070191532752
way,399076,5940667,2.700424820672926
great,398808,5940667,2.701096597547957
worked,398341,5940667,2.7022682732407715
next,397666,5940667,2.7039642386325125
service,397571,5940667,2.7042031611183925
off,397318,5940667,2.704839728006457
described,397031,5940667,2.7055623323339963
system,395927,5940667,2.7083468447881813
often,395188,5940667,2.710215094574743
joined,394518,5940667,2.7119119289935214
even,394096,5940667,2.7129821611737257
do,393574,5940667,2.714307589529304
together,392281,5940667,2.7175982758945576
few,391293,5940667,2.7201200556462806
century,389652,5940667,2.7243226625270847
top,388021,5940667,2.7285172337450008
30,387024,5940667,2.7310899890042033
created,386101,5940667,2.7334777023455525
total,384568,5940667,2.7374560692500216
country,383294,5940667,2.7407743768860775
2016,383127,5940667,2.7412101687097437
founded,381726,5940667,2.744873621861888
side,380215,5940667,2.74883981341938
club,379144,5940667,2.7516606154646723
25,378700,5940667,2.75283236070723
18,376575,5940667,2.7584594650261005
7,376422,5940667,2.7588658411527134
written,374042,5940667,2.7652086050403195
line,374037,5940667,2.765221972612461
8,372490,5940667,2.7693665037932993
currently,372220,5940667,2.7700916182991615
father,371141,5940667,2.7729946513013815
produced,370741,5940667,2.774072990009587
league,370263,5940667,2.7753631316722536
period,367370,5940667,2.7832071810399683
said,366994,5940667,2.7842311964678936
returned,366220,5940667,2.7863424499014116
president,365844,5940667,2.7873696825834258
without,365016,5940667,2.789635507376802
2005,364947,5940667,2.789824558055276
take,364801,5940667,2.79022469619049
refer,363578,5940667,2.7935828411928254
11,361154,5940667,2.8002722354491527
originally,359837,5940667,2.8039255444774107
using,358458,5940667,2.8077651972501805
development,358262,5940667,2.8083121333057837
show,357152,5940667,2.8114152341416747
species,356607,5940667,2.8129423605412494
community,355628,5940667,2.815691454917593
title,355178,5940667,2.816957623352072
16,354094,5940667,2.820014281006677
men,353863,5940667,2.8206668630369354
further,352121,5940667,2.8256018290853775
list,351656,5940667,2.8269232705864935
continued,349504,5940667,2.833061689085291
region,349369,5940667,2.8334480253772325
head,348995,5940667,2.834519100162744
14,348601,5940667,2.8356486939158465
2017,346595,5940667,2.841419744288652
building,345431,5940667,2.844783782916464
play,344739,5940667,2.846789086629728
2004,344094,5940667,2.8486618197551974
once,342530,5940667,2.853217450507712
ii,341654,5940667,2.855778166568539
summer,341601,5940667,2.855933306304381
though,341395,5940667,2.8565365309389223
2000,341336,5940667,2.856709366214153
considered,341285,5940667,2.8568587902725833
making,340613,5940667,2.858829760175837
association,339505,5940667,2.8620880211841766
football,338281,5940667,2.8656997845743115
role,336787,5940667,2.8701260125665735
24,335719,5940667,2.873302195077492
professional,335273,5940667,2.874631570288172
13,335218,5940667,2.8747956291647965
point,334797,5940667,2.876052317613282
director,334653,5940667,2.8764825215186396
every,334521,5940667,2.8768770377482364
river,334339,5940667,2.8774212473122462
center,332889,5940667,2.881767594535773
others,332816,5940667,2.881986910900507
western,332093,5940667,2.8841616454429797
support,331865,5940667,2.8848484358994906
book,331544,5940667,2.8858161647818283
addition,330877,5940667,2.8878299905072136
office,330139,5940667,2.890062917718164
9,330119,5940667,2.8901235000965864
young,329991,5940667,2.8905113142536334
working,329940,5940667,2.890665875867201
days,327596,5940667,2.8977955537228177
works,326065,5940667,2.902479947620051
record,323326,5940667,2.9109155934552358
17,318955,5940667,2.9245266686115756
lost,317577,5940667,2.9288563870003386
land,316230,5940667,2.9331068986797715
similar,316125,5940667,2.93343899062485
position,315981,5940667,2.933894610418021
formed,315763,5940667,2.934584763418771
department,314951,5940667,2.937159624444922
2018,313944,5940667,2.9403620695609436
england,313876,5940667,2.9405786921606247
throughout,313549,5940667,2.941621047915041
important,311686,5940667,2.9475804248327506
women,311466,5940667,2.948286512622376
short,311123,5940667,2.949388363232336
white,310253,5940667,2.95218860195574
announced,308148,5940667,2.9589965085734002
us,307353,5940667,2.961579771450642
upon,307255,5940667,2.9618986739082427
games,306337,5940667,2.964890892466936
album,306263,5940667,2.965132485677383
result,305764,5940667,2.966763133052648
northern,305220,5940667,2.9685438675522504
southern,302177,5940667,2.978563757210134
party,301804,5940667,2.979798895558591
french,301639,5940667,2.9803457574962127
wrote,301356,5940667,2.9812844054809498
opened,300601,5940667,2.983792891621665
division,300599,5940667,2.9837995449816117
award,300517,5940667,2.9840723708605057
2003,300279,5940667,2.9848646531408463
never,299971,5940667,2.9858908922979683
developed,298583,5940667,2.9905287444815682
london,297679,5940667,2.9935609708942676
open,296939,5940667,2.9960499651125074
present,296861,5940667,2.996312679832779
across,296315,5940667,2.9981536179496344
player,296250,5940667,2.9983730031656384
wife,296066,5940667,2.9989942931727245
level,295910,5940667,2.9995213415787787
road,295169,5940667,3.002028621953106
business,294970,5940667,3.002703039361692
appeared,293772,5940667,3.006772739343976
21,293577,5940667,3.0074367398178494
u.s.,293448,5940667,3.0078762441049807
eventually,292951,5940667,3.0095713360782073
station,292941,5940667,3.009605472062317
run,292794,5940667,3.0101074055410613
see,291570,5940667,3.0142965814314904
taken,291536,5940667,3.0144131983074565
popular,291519,5940667,3.0144715118456467
followed,291295,5940667,3.015240196232191
council,290712,5940667,3.0172436092323682
22,290354,5940667,3.018475827415149
recorded,290070,5940667,3.0194544224514135
19,289993,5940667,3.0197199108568182
2002,289261,5940667,3.022247300877948
live,288766,5940667,3.0239600240587117
includes,288741,5940667,3.024046603095903
debut,288028,5940667,3.026518997982585
million,287535,5940667,3.028232103656746
man,287506,5940667,3.028332966030123
current,287335,5940667,3.0289279131721814
special,286942,5940667,3.0302965908707478
2001,286434,5940667,3.0320685524907676
america,285967,5940667,3.033700276067828
television,285131,5940667,3.03662797182982
common,284496,5940667,3.0388575019013873
seven,284412,5940667,3.039152804483212
little,284205,5940667,3.039880886862544
good,283397,5940667,3.042727954158959
despite,282192,5940667,3.0469890052869704
park,281743,5940667,3.0485813877242256
100,280527,5940667,3.0529067186001138
william,280507,5940667,3.0529780155268895
province,278456,5940667,3.06031663795726
church,278096,5940667,3.061610317793855
23,277828,5940667,3.0625744784372566
full,277673,5940667,3.0631325332527206
leading,277480,5940667,3.063827837097879
field,277186,5940667,3.064887934625159
remained,277133,5940667,3.065079160255749
power,276479,5940667,3.0674418269039774
months,276433,5940667,3.0676082186629055
away,276275,5940667,3.0681799491401334
site,276088,5940667,3.068857040136975
german,275475,5940667,3.0710798152411383
does,274853,5940667,3.0733402863233086
education,274756,5940667,3.073693264535118
society,274532,5940667,3.0745088658678146
playing,274452,5940667,3.074800313343757
appointed,274023,5940667,3.0763646511439693
himself,273615,5940667,3.0778546868079917
gave,271763,5940667,3.0846463326713884
events,271735,5940667,3.0847493689292027
game,271309,5940667,3.086318302891774
production,270739,5940667,3.0884214384447173
28,270344,5940667,3.089881473486175
water,270328,5940667,3.089940659092253
directed,270043,5940667,3.0909954900377548
research,268902,5940667,3.0952296946586344
political,268692,5940667,3.0960109534177773
lead,268165,5940667,3.0979742329103623
elected,268139,5940667,3.0980711928436104
completed,268088,5940667,3.098261410792926
instead,267955,5940667,3.098757639650421
france,267802,5940667,3.099328794125899
official,267587,5940667,3.1001319485110552
26,267094,5940667,3.1019760392481897
james,265515,5940667,3.1079053593537496
how,265452,5940667,3.108142662238093
previously,265073,5940667,3.1095714358660054
george,264799,5940667,3.1106056479943023
right,263954,5940667,3.1138018500748803
less,263821,5940667,3.1143058527381946
per,263794,5940667,3.1144082000938367
areas,263750,5940667,3.114575010824703
involved,263684,5940667,3.1148252791060216
law,262693,5940667,3.1185906456431804
board,262592,5940667,3.1189751987952583
27,262465,5940667,3.119458955806313
event,261625,5940667,3.1226645148488155
available,261460,5940667,3.1232953874812655
features,260929,5940667,3.125328355950676
street,260485,5940667,3.1270314176533365
close,259975,5940667,3.1289912230686827
program,259945,5940667,3.129106625438406
modern,259864,5940667,3.1294182783749873
black,258375,5940667,3.135164677613047
